s.no, Turn Count, Reset Count, Current Turn, Time, mikesalarno score,sl933 score,mikesalarno turn, sl933 turn, mikesalarno left, mikesalarno right, mikesalarno down, mikesalarno bottom ,mikesalarno rotate,sl933 left, sl933 right, sl933 down, sl933 bottom ,sl933 rotate
1, 1, 0, mikesalarno, 8071, 0, 0, 1, 0, 8, 4, 0, 3, 0,0, 0, 0, 0, 0
2, 2, 0, sl933, 9879, 0, 0, 1, 1, 8, 4, 0, 3, 0,4, 11, 0, 3, 3
3, 3, 0, mikesalarno, 7785, 0, 0, 2, 1, 11, 5, 0, 6, 1,4, 11, 0, 3, 3
4, 4, 0, sl933, 8828, 0, 0, 2, 2, 11, 5, 0, 6, 1,7, 15, 0, 6, 6
5, 5, 0, mikesalarno, 16150, 0, 0, 3, 2, 16, 11, 0, 8, 9,7, 15, 0, 6, 6
6, 6, 0, sl933, 8538, 0, 40, 3, 3, 16, 11, 0, 8, 9,11, 18, 0, 9, 12
7, 7, 0, mikesalarno, 18980, 0, 40, 4, 3, 24, 16, 0, 9, 18,11, 18, 0, 9, 12
8, 8, 0, sl933, 6285, 0, 140, 4, 4, 24, 16, 0, 9, 18,13, 26, 0, 12, 15
9, 9, 0, mikesalarno, 11727, 0, 140, 5, 4, 29, 21, 0, 11, 24,13, 26, 0, 12, 15
10, 10, 0, sl933, 9150, 0, 140, 5, 5, 29, 21, 0, 11, 24,17, 31, 0, 14, 19
11, 11, 0, mikesalarno, 11643, 0, 140, 6, 5, 33, 29, 0, 11, 27,17, 31, 0, 14, 19
12, 12, 0, sl933, 3952, 0, 140, 6, 6, 33, 29, 0, 11, 27,19, 39, 0, 16, 20
13, 13, 0, mikesalarno, 20275, 0, 140, 7, 6, 37, 35, 8, 12, 31,19, 39, 0, 16, 20
14, 14, 0, sl933, 7972, 0, 220, 7, 7, 37, 35, 8, 12, 31,29, 41, 0, 19, 23
15, 15, 0, mikesalarno, 13403, 0, 220, 8, 7, 41, 46, 8, 15, 38,29, 41, 0, 19, 23
16, 16, 0, sl933, 7212, 0, 220, 8, 8, 41, 46, 8, 15, 38,35, 45, 1, 22, 23
17, 17, 0, mikesalarno, 5383, 0, 220, 9, 8, 49, 53, 8, 18, 40,35, 45, 1, 22, 23
18, 18, 0, sl933, 6934, 0, 260, 9, 9, 49, 53, 8, 18, 40,36, 52, 1, 25, 25
19, 19, 0, mikesalarno, 7343, 40, 260, 10, 9, 56, 60, 8, 21, 46,36, 52, 1, 25, 25
20, 20, 0, sl933, 8604, 40, 300, 10, 10, 56, 60, 8, 21, 46,40, 58, 1, 28, 27
21, 21, 0, mikesalarno, 3511, 80, 300, 11, 10, 62, 60, 8, 24, 48,40, 58, 1, 28, 27
22, 22, 0, sl933, 6194, 80, 400, 11, 11, 62, 60, 8, 24, 48,48, 62, 1, 31, 32
23, 23, 0, mikesalarno, 3773, 80, 400, 12, 11, 66, 65, 8, 27, 48,48, 62, 1, 31, 32
24, 24, 0, sl933, 6964, 80, 480, 12, 12, 66, 65, 8, 27, 48,49, 72, 1, 34, 33
25, 25, 0, mikesalarno, 5276, 80, 480, 13, 12, 70, 66, 8, 30, 49,49, 72, 1, 34, 33
26, 26, 0, sl933, 8710, 80, 520, 13, 13, 70, 66, 8, 30, 49,52, 76, 1, 37, 35
27, 27, 0, mikesalarno, 3426, 120, 520, 14, 13, 71, 78, 8, 33, 51,52, 76, 1, 37, 35
28, 28, 0, sl933, 8184, 120, 600, 14, 14, 71, 78, 8, 33, 51,63, 79, 1, 40, 35
29, 29, 0, mikesalarno, 7081, 120, 600, 15, 14, 76, 89, 8, 36, 55,63, 79, 1, 40, 35
30, 30, 0, sl933, 9956, 120, 600, 15, 15, 76, 89, 8, 36, 55,69, 82, 1, 42, 41
