s.no, Turn Count, Reset Count, Current Turn, Time, apple score,k95 score,apple turn, k95 turn, apple left, apple right, apple down, apple bottom ,apple rotate,k95 left, k95 right, k95 down, k95 bottom ,k95 rotate
1, 1, 0, apple, 12462, 0, 0, 1, 0, 6, 0, 2, 3, 1,0, 0, 0, 0, 0
2, 2, 0, k95, 7886, 0, 0, 1, 1, 6, 0, 2, 3, 1,2, 6, 5, 3, 1
3, 3, 0, apple, 12153, 40, 0, 2, 1, 8, 10, 2, 6, 5,2, 6, 5, 3, 1
4, 4, 0, k95, 12635, 40, 40, 2, 2, 8, 10, 2, 6, 5,11, 13, 5, 6, 3
5, 5, 0, apple, 9862, 180, 40, 3, 2, 10, 15, 2, 9, 8,11, 13, 5, 6, 3
6, 6, 0, k95, 7574, 180, 120, 3, 3, 10, 15, 2, 9, 8,16, 15, 5, 9, 7
7, 7, 0, apple, 10091, 180, 120, 4, 3, 16, 23, 2, 12, 12,16, 15, 5, 9, 7
8, 8, 0, k95, 11157, 180, 120, 4, 4, 16, 23, 2, 12, 12,23, 23, 5, 12, 21
9, 9, 0, apple, 6719, 260, 120, 5, 4, 22, 28, 2, 15, 15,23, 23, 5, 12, 21
10, 10, 0, k95, 12306, 260, 120, 5, 5, 22, 28, 2, 15, 15,32, 32, 5, 15, 33
11, 11, 0, apple, 9766, 360, 120, 6, 5, 28, 31, 2, 18, 21,32, 32, 5, 15, 33
12, 12, 0, k95, 10471, 360, 160, 6, 6, 28, 31, 2, 18, 21,34, 44, 5, 18, 42
13, 13, 0, apple, 7797, 400, 160, 7, 6, 34, 36, 2, 21, 22,34, 44, 5, 18, 42
14, 14, 0, k95, 10699, 400, 200, 7, 7, 34, 36, 2, 21, 22,41, 48, 5, 21, 50
15, 15, 0, apple, 10457, 480, 200, 8, 7, 38, 42, 2, 24, 31,41, 48, 5, 21, 50
16, 16, 0, k95, 13787, 480, 240, 8, 8, 38, 42, 2, 24, 31,50, 64, 7, 23, 52
17, 17, 0, apple, 14975, 480, 240, 9, 8, 42, 47, 2, 26, 32,50, 64, 7, 23, 52
18, 18, 0, k95, 11201, 480, 240, 9, 9, 42, 47, 2, 26, 32,57, 75, 7, 26, 62
19, 19, 0, apple, 11826, 480, 240, 10, 9, 44, 54, 2, 29, 37,57, 75, 7, 26, 62
20, 20, 0, k95, 8835, 480, 240, 10, 10, 44, 54, 2, 29, 37,62, 88, 7, 29, 67
21, 21, 0, apple, 11388, 820, 240, 11, 10, 52, 57, 2, 32, 48,62, 88, 7, 29, 67
22, 22, 0, k95, 10467, 820, 280, 11, 11, 52, 57, 2, 32, 48,72, 96, 7, 32, 74
23, 23, 0, apple, 13922, 820, 280, 12, 11, 60, 66, 2, 35, 60,72, 96, 7, 32, 74
24, 24, 0, k95, 11483, 820, 280, 12, 12, 60, 66, 2, 35, 60,83, 112, 7, 34, 82
25, 25, 0, apple, 10227, 860, 280, 13, 12, 63, 70, 2, 38, 69,83, 112, 7, 34, 82
26, 26, 0, k95, 11258, 860, 680, 13, 13, 63, 70, 2, 38, 69,90, 113, 7, 37, 90
27, 27, 0, apple, 17400, 860, 680, 14, 13, 64, 72, 2, 40, 71,90, 113, 7, 37, 90
28, 28, 0, k95, 9611, 860, 680, 14, 14, 64, 72, 2, 40, 71,103, 119, 14, 39, 92
29, 29, 0, apple, 11283, 900, 680, 15, 14, 70, 78, 2, 42, 87,103, 119, 14, 39, 92
30, 30, 0, k95, 8346, 900, 680, 15, 15, 70, 78, 2, 42, 87,112, 128, 14, 42, 93
